X,Y,Original_Z,Smoothed_Z
100,15,766.19,766.295
100,20,766.26,766.352
100,25,766.34,766.409
100,30,766.42,766.463
100,35,766.49,766.514
100,40,766.56,766.558
100,45,766.61,766.595
100,50,766.65,766.625
100,55,766.67,766.65
100,60,766.7,766.67
100,65,766.72,766.687
100,70,766.73,766.699
100,75,766.74,766.708
100,80,766.74,766.712
120,60,766.75,766.742
120,55,766.75,766.742
120,50,766.76,766.74
120,45,766.76,766.737
120,40,766.76,766.732
120,35,766.76,766.723
120,30,766.76,766.712
120,25,766.75,766.698
120,20,766.74,766.683
120,15,766.73,766.666
120,10,766.72,766.649
120,5,766.7,766.631
120,0,766.69,766.61
120,-5,766.67,766.585
120,-10,766.64,766.558
120,-15,766.61,766.53
120,-20,766.58,766.505
120,-25,766.55,766.486
120,-30,766.53,766.477
120,-35,766.54,766.478
120,-40,766.55,766.488
120,-45,766.57,766.502
120,-50,766.58,766.515
120,-55,766.59,766.523
120,-60,766.58,766.516
140,0,766.77,766.748
140,0,766.77,766.748
